name,epoch,replicas,goodput,throughput,efficiency
bert-0,1,30,10.706001249175548,17.280204002042144,0.9776209308924978
bert-0,1,31,10.704225151587963,17.169220173464208,0.9748293053903586
bert-0,1,32,12.67306458378015,15.649549674675995,0.9717645438159251
bert-0,1,33,12.81991854295513,15.746911994606167,0.9769472425333707
bert-0,1,34,0.0,0.0,0.0
bert-0,1,35,0.0,0.0,0.0
bert-0,1,36,0.0,0.0,0.0
bert-0,1,37,0.0,0.0,0.0
bert-0,1,38,0.0,0.0,0.0
bert-0,1,39,0.0,0.0,0.0
bert-0,1,40,0.0,0.0,0.0
bert-0,1,41,0.0,0.0,0.0
bert-0,1,42,0.0,0.0,0.0
bert-0,1,43,0.0,0.0,0.0
bert-0,1,44,0.0,0.0,0.0
bert-0,1,45,0.0,0.0,0.0
bert-0,1,46,0.0,0.0,0.0
